origin,destination,origin segment,destination segment,links crossed,links down,survey trips,ticketing trips,diff trips,diff link-trips
Namal-Giborim,EinHayam,trunk,trunk,4,4,3.0,0.0,3.0,11.9
Namal-Giborim,BatGalim-KiryatEliezer,trunk,trunk,3,3,44.2,135.1,-90.9,-272.7
Namal-Giborim,Hamoshava,trunk,trunk,2,2,50.6,70.1,-19.5,-39.0
Namal-Giborim,LowerCity,trunk,trunk,1,1,159.7,141.7,18.0,18.0
Namal-Giborim,Hamifrats,trunk,trunk,1,0,23.8,37.5,-13.8,-13.8
Namal-Giborim,Bazan-Hutsot,trunk,trunk,2,0,21.4,13.3,8.2,16.3
Namal-Giborim,TsometKiryatAta,trunk,trunk,3,0,17.2,0.0,17.2,51.5
Namal-Giborim,KiryatAta North,trunk,T1,4,0,0.4,0.0,0.4,1.5
Namal-Giborim,KiryatAta North-East,trunk,T1,5,0,0.2,0.0,0.2,0.8
Namal-Giborim,Shefaram,trunk,T1,6,0,0.7,0.0,0.7,4.2
Namal-Giborim,Hamovil,trunk,T1,7,0,0.3,0.0,0.3,2.2
Namal-Giborim,Nazareth,trunk,T1,8,0,0.2,0.0,0.2,1.5
Namal-Giborim,TsurShalom,trunk,T2,7,0,1.1,0.0,1.1,7.9
Namal-Giborim,Kiryon,trunk,T2,6,0,3.4,0.3,3.1,18.9
Namal-Giborim,KiryatBialik Center,trunk,T2,5,0,3.5,60.4,-56.9,-284.4
Namal-Giborim,KiryatHaim,trunk,T2,4,0,12.1,0.0,12.1,48.6
Namal-Giborim,SavyoneyYam,trunk,T3,7,0,0.5,0.0,0.5,3.3
Namal-Giborim,KiryatYam A,trunk,T3,6,0,1.2,0.0,1.2,7.1
Namal-Giborim,KiryatYam B+C,trunk,T3,5,0,15.1,0.0,15.1,75.3
Namal-Giborim,KiryatHaim West,trunk,T3,4,0,6.6,7.2,-0.6,-2.4
Hamifrats,TiratCarmel,trunk,trunk,9,9,0.2,0.0,0.2,1.6
Hamifrats,Matam-NeotPeres,trunk,trunk,8,8,9.6,27.2,-17.7,-141.4
Hamifrats,HofCarmel-NeveDavid,trunk,trunk,7,7,0.8,158.1,-157.3,-1101.3
Hamifrats,Hecht-Shprintzak,trunk,trunk,6,6,1.7,0.0,1.7,10.3
Hamifrats,EinHayam,trunk,trunk,5,5,0.5,71.1,-70.6,-352.8
Hamifrats,BatGalim-KiryatEliezer,trunk,trunk,4,4,7.9,133.3,-125.4,-501.7
Hamifrats,Hamoshava,trunk,trunk,3,3,21.0,13.0,8.0,23.9
Hamifrats,LowerCity,trunk,trunk,2,2,66.1,310.4,-244.3,-488.5
Hamifrats,Namal-Giborim,trunk,trunk,1,1,29.2,5.6,23.7,23.7
Hamifrats,Bazan-Hutsot,trunk,trunk,1,0,0.0,3.3,-3.3,-3.3
Hamifrats,TsometKiryatAta,trunk,trunk,2,0,0.0,0.2,-0.2,-0.3
Hamifrats,KiryatAta North,trunk,T1,3,0,0.1,0.0,0.1,0.2
Hamifrats,KiryatAta North-East,trunk,T1,4,0,0.0,0.0,0.0,0.1
Hamifrats,Shefaram,trunk,T1,5,0,0.5,3.7,-3.2,-16.2
Hamifrats,Hamovil,trunk,T1,6,0,0.2,12.3,-12.1,-72.5
Hamifrats,Nazareth,trunk,T1,7,0,0.1,0.0,0.1,0.9
Hamifrats,TsurShalom,trunk,T2,6,0,0.5,0.0,0.5,2.9
Hamifrats,Kiryon,trunk,T2,5,0,1.5,75.5,-74.0,-370.1
Hamifrats,KiryatBialik Center,trunk,T2,4,0,1.5,64.1,-62.6,-250.3
Hamifrats,KiryatHaim,trunk,T2,3,0,7.0,0.0,7.0,21.0
Hamifrats,SavyoneyYam,trunk,T3,6,0,0.4,58.8,-58.5,-350.8
Hamifrats,KiryatYam A,trunk,T3,5,0,0.9,0.0,0.9,4.4
Hamifrats,KiryatYam B+C,trunk,T3,4,0,10.5,0.0,10.5,42.0
Hamifrats,KiryatHaim West,trunk,T3,3,0,4.2,112.4,-108.2,-324.5
Bazan-Hutsot,TiratCarmel,trunk,trunk,10,10,0.0,2.8,-2.7,-27.0
Bazan-Hutsot,Matam-NeotPeres,trunk,trunk,9,9,2.7,10.3,-7.6,-68.8
Bazan-Hutsot,HofCarmel-NeveDavid,trunk,trunk,8,8,0.2,1.5,-1.3,-10.3
Bazan-Hutsot,Hecht-Shprintzak,trunk,trunk,7,7,0.5,0.8,-0.3,-1.9
Bazan-Hutsot,EinHayam,trunk,trunk,6,6,0.2,0.8,-0.6,-3.6
Bazan-Hutsot,BatGalim-KiryatEliezer,trunk,trunk,5,5,2.2,27.3,-25.1,-125.3
Bazan-Hutsot,Hamoshava,trunk,trunk,4,4,5.8,0.8,5.1,20.3
Bazan-Hutsot,LowerCity,trunk,trunk,3,3,18.4,20.5,-2.2,-6.5
Bazan-Hutsot,Namal-Giborim,trunk,trunk,2,2,8.1,13.7,-5.6,-11.2
