stop_code,lat,lon,TAZ_NUMBER
36240.000000,32.021964,34.750804,
34637.000000,31.964163,34.805928,
35886.000000,31.949030,34.803908,
32886.000000,31.953071,34.828083,
32688.000000,32.091420,34.975099,
32649.000000,32.101608,34.954574,
32614.000000,32.097436,34.942780,
33822.000000,32.028679,34.765417,
32872.000000,31.985606,34.787214,
21227.000000,32.106708,34.802776,
25477.000000,32.055937,34.781939,
20095.000000,32.073094,34.766070,
60884.000000,31.768002,35.293379,
21032.000000,32.059083,34.809867,
25556.000000,32.071897,34.773361,
21480.000000,32.052027,34.772397,
6232.000000,31.778630,35.225134,
61168.000000,31.777369,35.305508,
5889.000000,31.803246,35.240501,
2011.000000,31.757346,35.209822,
6101.000000,31.799332,35.232073,
370.000000,31.803428,35.218084,
63342.000000,32.114888,35.257179,
60382.000000,31.932683,35.045155,
60388.000000,31.931073,35.039698,
61132.000000,31.850489,35.279677,
3301.000000,31.748705,35.211292,
17030.000000,32.319915,34.869257,
47540.000000,32.793352,35.039016,1221.000000
47456.000000,32.845665,35.090803,602.000000
1486.000000,31.838481,35.239720,
1625.000000,31.795967,35.220770,
5821.000000,31.838336,35.235335,
32274.000000,32.092462,34.850598,
38312.000000,32.083908,34.867936,
21256.000000,32.055908,34.779085,
20307.000000,32.137548,34.834690,
37566.000000,32.018848,34.770714,
61307.000000,31.694821,35.100154,
60150.000000,31.703334,35.115433,
60115.000000,31.695343,35.113639,
60287.000000,31.939007,35.036676,
21669.000000,32.075758,34.791549,
26389.000000,32.083304,34.829375,
39524.000000,32.324396,34.874173,
176.000000,31.792105,35.192721,
27065.000000,32.113879,34.801548,
20242.000000,32.153179,34.842138,
26457.000000,32.111196,34.831876,
26595.000000,32.107129,34.833509,
25661.000000,32.048306,34.793219,
23038.000000,32.090278,34.820649,
37030.000000,32.176398,34.903889,
32068.000000,32.167578,34.901093,
26248.000000,32.083873,34.803468,
21365.000000,32.091763,34.828052,
61335.000000,31.848134,35.289945,
60861.000000,31.543023,35.127594,
58009.000000,32.963658,35.489474,3315.000000
58002.000000,32.969703,35.497205,3314.000000
17050.000000,32.035462,34.759782,
20721.000000,32.040954,34.767566,
25872.000000,32.080103,34.784906,
17042.000000,32.106273,34.863205,
21718.000000,32.102578,34.805312,
35483.000000,32.096984,34.897209,
60090.000000,31.702288,35.121916,
60062.000000,31.702110,35.121881,
149.000000,31.824900,35.189780,
1556.000000,31.790922,35.201995,
1726.000000,31.768226,35.178015,
2352.000000,31.765561,35.176756,
3670.000000,31.801207,35.147567,
103.000000,31.800000,35.214106,
647.000000,31.791535,35.196465,
1525.000000,31.758025,35.198555,
2961.000000,31.823394,35.254057,
2572.000000,31.827816,35.242313,
21023.000000,32.072666,34.793390,
31061.000000,32.044608,34.880826,
11048.000000,31.779695,34.644607,
26302.000000,32.102783,34.806970,
36231.000000,32.030120,34.750290,
33754.000000,32.009918,34.739188,
28625.000000,32.054886,34.780031,
32263.000000,32.090560,34.876839,
21437.000000,32.045205,34.808983,
31515.000000,31.873071,34.739786,
35755.000000,31.863464,34.816419,
31142.000000,31.789271,34.758815,
32154.000000,31.867578,34.815425,
36208.000000,32.016702,34.746921,
25141.000000,32.064079,34.780755,
31582.000000,32.085236,34.882211,
31482.000000,32.034643,34.886041,
35378.000000,32.105041,34.863442,
38305.000000,32.070600,34.913516,
35287.000000,32.085699,34.882356,
21584.000000,32.055762,34.772525,
36115.000000,32.004235,34.747223,
28624.000000,32.056487,34.779648,
13339.000000,31.812488,34.657202,
11856.000000,31.780039,34.660266,
32708.000000,32.101268,34.951608,
3661.000000,31.831209,35.245730,
1487.000000,31.837748,35.231598,
1957.000000,31.772278,35.221790,
2616.000000,31.768364,35.172382,
3286.000000,31.774634,35.186959,
35778.000000,31.997647,34.773968,
20280.000000,32.049804,34.755758,
25749.000000,32.069794,34.799241,
21194.000000,32.052456,34.799862,
25272.000000,32.043358,34.771751,
26071.000000,32.057488,34.811478,
25634.000000,32.078178,34.781166,
25071.000000,32.101886,34.792779,
21232.000000,32.088772,34.822710,
20643.000000,32.098418,34.826805,
26900.000000,32.166805,34.839199,
21301.000000,32.059183,34.798721,
26025.000000,32.050996,34.805222,
60121.000000,31.695557,35.123341,
60109.000000,31.695636,35.123290,
2612.000000,31.786894,35.175045,
60147.000000,31.700920,35.108776,
60092.000000,31.703105,35.117263,
60059.000000,31.701026,35.114853,
25903.000000,32.082984,34.792922,
25575.000000,32.078950,34.774950,
26790.000000,32.115365,34.839416,
23064.000000,32.085267,34.836363,
20075.000000,32.086862,34.839274,
26206.000000,32.071997,34.823049,
36366.000000,32.018606,34.770840,
20102.000000,32.057836,34.775157,
21533.000000,32.107787,34.827298,
26727.000000,32.118917,34.828782,
37084.000000,32.183663,34.933830,
37176.000000,32.151228,34.894821,
36242.000000,32.020643,34.754556,
31327.000000,31.925482,34.797940,
21540.000000,32.089296,34.818138,
21831.000000,32.108777,34.835807,
11053.000000,31.791356,34.654557,
13385.000000,31.834497,34.687963,
21470.000000,32.089649,34.818457,
20444.000000,32.046458,34.762991,
