scenario-year,LRT scenario,link,from_area,to_area,direction,transit_nobuild_3h_trunk_projection,car_nobuild_3h_trunk_projection,lrt_3h,lrt_3h_low,lrt_3h_high,lrt_peak_hour
BU_2050,LRT design 50 km/h,2,Matam-NeotPeres,HofCarmel-NeveDavid,up,1970.7,6220.0,1186.4,1279.6,1198.7,651.8
BU_2050,LRT design 50 km/h,2,Matam-NeotPeres,HofCarmel-NeveDavid,down,2261.7,4753.6,1151.4,1322.7,1044.7,525.9
BU_2050,LRT design 50 km/h,3,HofCarmel-NeveDavid,Hecht-Shprintzak,up,1960.9,5932.4,1198.8,1296.6,1201.7,658.6
BU_2050,LRT design 50 km/h,3,HofCarmel-NeveDavid,Hecht-Shprintzak,down,2203.7,4224.9,1181.6,1343.9,1085.3,539.8
BU_2050,LRT design 50 km/h,4,Hecht-Shprintzak,EinHayam,up,2231.2,6440.6,1376.7,1503.5,1356.5,756.4
BU_2050,LRT design 50 km/h,4,Hecht-Shprintzak,EinHayam,down,1940.2,4076.5,1143.9,1275.1,1077.5,522.5
BU_2050,LRT design 50 km/h,5,EinHayam,BatGalim-KiryatEliezer,up,2501.9,7573.3,1472.0,1628.9,1428.2,808.7
BU_2050,LRT design 50 km/h,5,EinHayam,BatGalim-KiryatEliezer,down,1767.8,3572.6,1093.3,1193.6,1052.8,499.4
BU_2050,LRT design 50 km/h,6,BatGalim-KiryatEliezer,Hamoshava,up,1701.0,6039.7,1130.7,1184.1,1169.0,621.2
BU_2050,LRT design 50 km/h,6,BatGalim-KiryatEliezer,Hamoshava,down,2322.9,7484.2,1426.2,1533.8,1403.4,651.5
BU_2050,LRT design 50 km/h,7,Hamoshava,LowerCity,up,1741.7,4488.6,1134.8,1191.9,1164.1,623.5
BU_2050,LRT design 50 km/h,7,Hamoshava,LowerCity,down,2595.8,5539.0,1597.9,1672.5,1605.4,729.9
BU_2050,LRT design 50 km/h,8,LowerCity,Namal-Giborim,up,1123.8,3511.1,763.3,778.5,811.6,419.4
BU_2050,LRT design 50 km/h,8,LowerCity,Namal-Giborim,down,3547.9,6506.8,2247.2,2470.1,2226.0,1026.5
BU_2050,LRT design 50 km/h,9,Namal-Giborim,Hamifrats,up,4256.7,22355.6,1220.2,1796.3,922.2,670.4
BU_2050,LRT design 50 km/h,9,Namal-Giborim,Hamifrats,down,9770.1,41538.4,2890.2,4064.3,2427.2,1320.2
HS_2040,LRT all underground,1,TiratCarmel,Matam-NeotPeres,up,1210.2,5572.0,561.5,695.2,461.4,308.5
HS_2040,LRT all underground,1,TiratCarmel,Matam-NeotPeres,down,620.0,1986.2,252.7,326.1,198.1,115.4
HS_2040,LRT all underground,2,Matam-NeotPeres,HofCarmel-NeveDavid,up,1451.6,3854.1,605.7,775.7,476.0,332.8
HS_2040,LRT all underground,2,Matam-NeotPeres,HofCarmel-NeveDavid,down,2454.8,5578.1,923.4,1234.3,672.8,421.8
HS_2040,LRT all underground,3,HofCarmel-NeveDavid,Hecht-Shprintzak,up,1591.0,3977.4,630.3,830.1,470.6,346.3
HS_2040,LRT all underground,3,HofCarmel-NeveDavid,Hecht-Shprintzak,down,2351.6,4826.6,889.3,1183.3,651.5,406.2
HS_2040,LRT all underground,4,Hecht-Shprintzak,EinHayam,up,1906.7,4536.7,734.5,977.8,538.1,403.5
HS_2040,LRT all underground,4,Hecht-Shprintzak,EinHayam,down,2115.7,4725.6,804.2,1069.9,592.2,367.4
HS_2040,LRT all underground,5,EinHayam,BatGalim-KiryatEliezer,up,2193.2,5653.9,816.7,1098.1,590.4,448.7
HS_2040,LRT all underground,5,EinHayam,BatGalim-KiryatEliezer,down,1958.1,4284.1,766.0,1000.6,577.2,349.9
HS_2040,LRT all underground,6,BatGalim-KiryatEliezer,Hamoshava,up,1829.0,5298.3,775.0,967.1,622.3,425.8
HS_2040,LRT all underground,6,BatGalim-KiryatEliezer,Hamoshava,down,2404.5,7427.9,1022.3,1268.9,835.7,467.0
HS_2040,LRT all underground,7,Hamoshava,LowerCity,up,1877.2,3753.7,798.4,990.6,645.4,438.6
HS_2040,LRT all underground,7,Hamoshava,LowerCity,down,2640.9,5590.8,1172.3,1394.6,1011.1,535.5
HS_2040,LRT all underground,8,LowerCity,Namal-Giborim,up,1226.9,3057.0,534.3,651.1,448.2,293.5
HS_2040,LRT all underground,8,LowerCity,Namal-Giborim,down,3563.8,6597.8,1696.9,1966.0,1517.4,775.1
HS_2040,LRT all underground,9,Namal-Giborim,Hamifrats,up,3801.4,18373.4,928.3,1489.9,600.2,510.0
HS_2040,LRT all underground,9,Namal-Giborim,Hamifrats,down,9065.0,40093.1,2261.4,3455.3,1693.0,1033.0
HS_2040,LRT all ground,1,TiratCarmel,Matam-NeotPeres,up,1210.2,5572.0,353.9,547.1,221.2,194.4
HS_2040,LRT all ground,1,TiratCarmel,Matam-NeotPeres,down,620.0,1986.2,166.2,263.2,100.3,75.9
HS_2040,LRT all ground,2,Matam-NeotPeres,HofCarmel-NeveDavid,up,1451.6,3854.1,370.1,613.4,214.7,203.3
HS_2040,LRT all ground,2,Matam-NeotPeres,HofCarmel-NeveDavid,down,2454.8,5578.1,610.4,1017.1,328.3,278.8
HS_2040,LRT all ground,3,HofCarmel-NeveDavid,Hecht-Shprintzak,up,1591.0,3977.4,334.1,591.4,161.8,183.6
HS_2040,LRT all ground,3,HofCarmel-NeveDavid,Hecht-Shprintzak,down,2351.6,4826.6,443.9,732.8,233.1,202.8
HS_2040,LRT all ground,4,Hecht-Shprintzak,EinHayam,up,1906.7,4536.7,384.8,691.0,178.6,211.4
HS_2040,LRT all ground,4,Hecht-Shprintzak,EinHayam,down,2115.7,4725.6,326.4,553.3,162.8,149.1
HS_2040,LRT all ground,5,EinHayam,BatGalim-KiryatEliezer,up,2193.2,5653.9,421.0,763.8,191.7,231.3
HS_2040,LRT all ground,5,EinHayam,BatGalim-KiryatEliezer,down,1958.1,4284.1,262.2,444.6,129.9,119.8
HS_2040,LRT all ground,6,BatGalim-KiryatEliezer,Hamoshava,up,1829.0,5298.3,432.8,679.3,253.6,237.8
HS_2040,LRT all ground,6,BatGalim-KiryatEliezer,Hamoshava,down,2404.5,7427.9,467.8,687.1,297.0,213.7
HS_2040,LRT all ground,7,Hamoshava,LowerCity,up,1877.2,3753.7,426.1,663.9,253.4,234.1
HS_2040,LRT all ground,7,Hamoshava,LowerCity,down,2640.9,5590.8,603.7,808.9,441.3,275.8
HS_2040,LRT all ground,8,LowerCity,Namal-Giborim,up,1226.9,3057.0,266.3,408.1,166.4,146.3
HS_2040,LRT all ground,8,LowerCity,Namal-Giborim,down,3563.8,6597.8,955.3,1218.2,744.4,436.4
HS_2040,LRT all ground,9,Namal-Giborim,Hamifrats,up,3801.4,18373.4,571.0,1136.1,265.0,313.7
HS_2040,LRT all ground,9,Namal-Giborim,Hamifrats,down,9065.0,40093.1,1032.0,2093.2,548.6,471.4
HS_2040,LRT design 50 km/h,1,TiratCarmel,Matam-NeotPeres,up,1210.2,5572.0,732.1,797.5,727.2,402.2
HS_2040,LRT design 50 km/h,1,TiratCarmel,Matam-NeotPeres,down,620.0,1986.2,326.7,371.5,306.7,149.2
HS_2040,LRT design 50 km/h,2,Matam-NeotPeres,HofCarmel-NeveDavid,up,1451.6,3854.1,794.3,879.0,772.8,436.4
HS_2040,LRT design 50 km/h,2,Matam-NeotPeres,HofCarmel-NeveDavid,down,2454.8,5578.1,1226.2,1416.1,1106.3,560.1
HS_2040,LRT design 50 km/h,3,HofCarmel-NeveDavid,Hecht-Shprintzak,up,1591.0,3977.4,916.8,1020.0,882.0,503.7
HS_2040,LRT design 50 km/h,3,HofCarmel-NeveDavid,Hecht-Shprintzak,down,2351.6,4826.6,1290.6,1462.2,1195.9,589.6
HS_2040,LRT design 50 km/h,4,Hecht-Shprintzak,EinHayam,up,1906.7,4536.7,1132.7,1267.1,1074.0,622.3
HS_2040,LRT design 50 km/h,4,Hecht-Shprintzak,EinHayam,down,2115.7,4725.6,1269.5,1409.8,1206.6,579.9
HS_2040,LRT design 50 km/h,5,EinHayam,BatGalim-KiryatEliezer,up,2193.2,5653.9,1240.6,1407.3,1156.6,681.6
HS_2040,LRT design 50 km/h,5,EinHayam,BatGalim-KiryatEliezer,down,1958.1,4284.1,1227.8,1338.6,1190.0,560.9
HS_2040,LRT design 50 km/h,6,BatGalim-KiryatEliezer,Hamoshava,up,1829.0,5298.3,1152.9,1244.1,1137.0,633.4
HS_2040,LRT design 50 km/h,6,BatGalim-KiryatEliezer,Hamoshava,down,2404.5,7427.9,1525.1,1628.3,1521.8,696.7
HS_2040,LRT design 50 km/h,7,Hamoshava,LowerCity,up,1877.2,3753.7,1170.4,1264.2,1150.4,643.0
