TAZ,SZ,corridor,P_2022,P_year,E_2022,E_year,I_2022,I_year,J_2022,J_year,O_2022_car,O_year_car,origin basis,D_2022_car,D_year_car,destination basis,O_2022_transit,O_year_transit,D_2022_transit,D_year_transit,O_2022_taxi,O_year_taxi,D_2022_taxi,D_year_taxi
3703,37,False,1363.6581,2113.0000,1824.5311,2804.0000,915.7433,1416.0933,1846.2619,2841.9680,1240.6897,1918.5861,own rate (multiplicative),2713.3957,3925.0796,own rate (multiplicative),34.3983,53.1931,11.2606,16.9691,0.0000,0.0000,0.0000,0.0000
3704,37,False,4563.8127,7077.0000,2220.8717,3922.0000,2584.4602,4066.7703,3015.3257,5065.1238,3909.4734,6151.7410,own rate (multiplicative),7754.5112,12241.0799,own rate (multiplicative),403.5327,634.9778,315.7082,519.1747,0.0000,0.0000,0.0000,0.0000
3705,37,False,0.0000,0.0000,4191.4363,5924.0000,518.1326,732.3069,3412.8552,4823.5862,175.9543,248.6864,own rate (multiplicative),570.4145,757.6214,own rate (multiplicative),2.5970,3.6705,233.4130,322.9603,0.0000,0.0000,0.0000,0.0000
3706,37,False,2088.9266,3240.0000,685.0151,1181.0000,1141.9664,1785.8815,1110.2288,1818.5066,1789.6922,2798.8373,own rate (multiplicative),2392.5381,3682.7370,own rate (multiplicative),168.5526,263.5935,49.2959,79.0469,0.0000,0.0000,0.0000,0.0000
3707,37,False,5138.7485,8561.0000,537.1091,1249.0000,2667.3160,4487.4522,1796.3842,3281.1212,4285.6422,7210.0999,own rate (multiplicative),1900.4058,3261.9619,own rate (multiplicative),410.7169,690.9839,54.0870,96.7136,0.0000,0.0000,0.0000,0.0000
3708,37,False,7356.6110,11406.0000,1015.9889,3327.0000,3849.0600,6184.2932,2772.8682,5725.5397,6302.7968,10126.7175,own rate (multiplicative),4086.4462,7929.4391,own rate (multiplicative),619.2971,995.0260,76.1147,153.8607,0.0000,0.0000,0.0000,0.0000
3709,37,False,3792.5122,5882.0000,2095.5818,3174.0000,2178.5872,3369.4689,2709.3231,4140.0268,103.1102,159.4733,own rate (multiplicative),890.3449,1278.5276,own rate (multiplicative),219.9624,340.2005,90.0848,134.7614,0.0000,0.0000,0.0000,0.0000
3710,37,False,2307.1876,3578.0000,2289.3554,3711.0000,1450.7604,2269.7073,2474.2781,3967.9369,2099.5098,3284.6725,own rate (multiplicative),3466.0802,5223.5328,own rate (multiplicative),64.9020,101.5389,4.8260,7.5766,0.0000,0.0000,0.0000,0.0000
3711,37,False,1971.4084,3057.0000,686.0838,1341.0000,1082.6180,1713.0368,1080.0190,1900.3877,1794.2294,2839.0263,own rate (multiplicative),1030.6136,1704.1827,own rate (multiplicative),46.6290,73.7816,1.6087,2.7711,0.0000,0.0000,0.0000,0.0000
3712,37,False,829.0133,1287.0000,281.4933,378.0000,454.3932,698.1279,448.4538,648.1577,22.5386,34.6281,own rate (multiplicative),125.8404,170.9199,own rate (multiplicative),18.9614,29.1323,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3713,37,False,1014.1057,1572.0000,412.0124,843.0000,564.2100,899.8594,603.6797,1102.1555,27.5569,43.9505,own rate (multiplicative),175.9908,301.9506,own rate (multiplicative),21.1118,33.6712,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3801,38,False,7088.8022,8752.0000,581.6883,1147.0000,3659.8246,4571.5157,2348.4137,3248.5821,4138.8052,5169.8141,own rate (multiplicative),1484.0854,1929.2460,own rate (multiplicative),23.0357,28.7741,1.8857,2.5537,0.0000,0.0000,0.0000,0.0000
