TAZ_ID,AREA,SETTL_SIZE,CHILD_EDU,ADULT_EDU,STUDENTS,SOCECO,SECTOR_REST,SECTOR_ARA,SECTOR_ORT,POPULATION,HH_AVG_SIZE,HH_AVG_SIZE_ARAB,HH_AVG_SIZE_ORTO,HH_AVG_SIZE_REST,HH_TOT,HH_ARAB,HH_OTRO,HH_REST,EMPL_TOT,EMPL_INDU,EMPL_SERV,EMPL_OTHER,AGE_0_7,AGE_8_18,AGE_19_25,AGE_26_35,AGE_36_64,AGE_65,AGE_0_7_REST,AGE_8_18_REST,AGE_19_25_REST,AGE_26_35_REST,AGE_36_64_REST,AGE_65_REST,AGE_0_7_ARA,AGE_8_18_ARA,AGE_19_25_ARA,AGE_26_35_ARA,AGE_36_64_ARA,AGE_65_ARA,AGE_0_7_ORT,AGE_8_18_ORT,AGE_19_25_ORT,AGE_26_35_ORT,AGE_36_64_ORT,AGE_65_ORT,GIZRA,TABAAT,SZ_OLD,SZ_NEW,PRIMARY_NAFA,SECONDARY_NAFA,PERC_PRIMARY_NAFA,PERC_SECONDARY_NAFA
3211,19.92,2,0,0,0,7,1,0,0,2244,3.147265077,0,0,3.147265077,713,0,0,713,1018,334,537,147,322,441,168,238,731,344,322,441,168,238,731,344,0,0,0,0,0,0,0,0,0,0,0,0,42,4,32,32,צפת,,1,0
3212,20.00,2,875,709,0,3,0.106611994,0.893388006,0,9755,3.619666048,3.733933162,0,2.880886427,2695,2334,0,361,2210,725,1167,318,1550,1833,1179,1571,2928,694,120,163,74,102,317,264,1430,1670,1105,1469,2611,430,0,0,0,0,0,0,42,4,32,32,צפת,,1,0
3213,5.46,2,1531,1408,0,4,0.664956803,0,0.335043197,11112,3.280779451,0,3.753024194,3.085177453,3387,0,992,2395,4243,1392,2240,611,2156,2534,1315,1368,2512,1227,1148,1558,821,844,1874,1144,0,0,0,0,0,0,1008,976,494,524,638,83,42,4,32,32,צפת,,1,0
3214,4.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2274,746,1201,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,4,32,32,צפת,,1,0
3215,12.70,2,225,0,0,7,1,0,0,3239,2.806759099,0,0,2.806759099,1154,0,0,1154,1411,463,745,203,370,546,321,359,1049,594,370,546,321,359,1049,594,0,0,0,0,0,0,0,0,0,0,0,0,42,4,32,32,צפת,,1,0
3216,36.01,1,358,0,0,7,1,0,0,1511,2.798148148,0,0,2.798148148,540,0,0,540,754,247,398,109,174,214,148,206,477,292,174,214,148,206,477,292,0,0,0,0,0,0,0,0,0,0,0,0,42,4,32,32,צפת,,1,0
3301,16.26,1,0,0,0,7,1,0,0,1052,2.565853659,0,0,2.565853659,410,0,0,410,274,90,145,39,124,133,91,189,336,179,124,133,91,189,336,179,0,0,0,0,0,0,0,0,0,0,0,0,41,4,33,44,צפת,,1,0
3302,59.48,2,0,56,0,7,1,0,0,2020,2.992592593,0,0,2.992592593,675,0,0,675,1247,409,658,180,197,352,187,193,679,412,197,352,187,193,679,412,0,0,0,0,0,0,0,0,0,0,0,0,41,4,33,44,צפת,,1,0
3303,31.54,1,185,0,0,5,1,0,0,1907,3.105863192,0,0,3.105863192,614,0,0,614,1350,443,713,194,212,367,201,197,584,346,212,367,201,197,584,346,0,0,0,0,0,0,0,0,0,0,0,0,41,4,33,33,עכו,צפת,0.8,0.2
3304,20.34,1,277,0,0,4,1,0,0,654,3.027777778,0,0,3.027777778,216,0,0,216,1409,462,744,203,105,106,43,74,221,105,105,106,43,74,221,105,0,0,0,0,0,0,0,0,0,0,0,0,41,4,33,34,עכו,,1,0
3305,60.16,2,153,0,0,6,0.591919192,0.388636364,0.019444444,3960,3.235294118,3.352941176,3.666666667,3.150537634,1224,459,21,744,1128,370,596,162,587,679,429,605,1237,423,359,445,261,324,702,253,205,216,160,269,520,169,23,18,8,12,15,1,41,4,33,33,צפת,,1,0
3306,0.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1637,537,864,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,4,33,33,צפת,,1,0
3307,8.27,2,408,252,0,7,0,1,0,3952,3.197411003,3.197411003,0,0,1236,1236,0,0,618,203,326,89,444,592,421,626,1373,496,0,0,0,0,0,0,444,592,421,626,1373,496,0,0,0,0,0,0,41,4,33,33,צפת,עכו,0.9,0.1
