TAZ,households,sampled_persons,weighted_persons,weighted_trips_10,weighted_trips_20,rate_10,rate_20,rate_avg
1916,9,37,12529.9,11129.9,8329.88,0.888267,0.664801,0.776534
1917,9,47,14276.4,8822.75,13915.7,0.617994,0.974736,0.796365
1918,2,8,2800,2100,1750,0.75,0.625,0.6875
1919,3,13,4550,3500,3500,0.769231,0.769231,0.769231
1923,6,22,7700,1750,5600,0.227273,0.727273,0.477273
1924,11,35,10983.4,1750,5872.29,0.159332,0.534652,0.346992
1926,6,21,7350,2800,3850,0.380952,0.52381,0.452381
1928,2,7,2450,1750,1750,0.714286,0.714286,0.714286
1929,7,28,9379.88,6749.82,5529.88,0.719607,0.589547,0.654577
1930,4,23,4418.55,1801.9,6872.97,0.407802,1.55548,0.981642
1931,5,12,4200,1050,2800,0.25,0.666667,0.458333
1933,6,24,8400,6300,6650,0.75,0.791667,0.770833
1934,4,17,5950,700,4550,0.117647,0.764706,0.441176
1935,8,21,7350,3850,2450,0.52381,0.333333,0.428571
1936,1,5,1750,2100,1400,1.2,0.8,1
1938,9,44,15400,12250,11200,0.795455,0.727273,0.761364
2002,10,29,6757.08,3717.45,7130.98,0.550156,1.05533,0.802745
2003,7,18,4302.53,3064.96,3886.77,0.712362,0.903369,0.807866
2004,8,26,7618.8,4740.9,5876.06,0.622264,0.771258,0.696761
2005,5,17,3035.87,3537.99,3276.83,1.16539,1.07937,1.12238
2007,6,17,4333.81,5575.8,3489.3,1.28658,0.805134,1.04586
2008,7,18,2186.03,1880.92,939.593,0.860426,0.429816,0.645121
2009,5,13,4504.2,2381.3,2731.3,0.528684,0.606389,0.567536
2011,7,19,4514.11,3400.24,2225.13,0.753248,0.492929,0.623089
2012,10,23,5590.93,3759.28,4109.28,0.672389,0.73499,0.703689
2101,3,13,2356.46,2261.45,3156.15,0.959683,1.33936,1.14952
2102,37,171,14852.6,10237.2,10214.8,0.68925,0.687744,0.688497
2103,11,26,3867.18,4327.3,3974.09,1.11898,1.02764,1.07331
2105,29,77,10077.1,9012.28,7752.7,0.894331,0.769338,0.831834
2106,8,25,4264.24,4671.9,5458.3,1.0956,1.28002,1.18781
2107,2,3,468.63,59.3148,237.259,0.126571,0.506283,0.316427
2108,13,38,5621.48,7006.56,6590.44,1.24639,1.17237,1.20938
2109,8,20,4172.97,4056.21,3191.36,0.97202,0.764769,0.868394
2110,8,14,3383.9,2764.7,2295.75,0.817017,0.678433,0.747725
2112,15,49,10861,11717.3,12187.4,1.07885,1.12213,1.10049
2201,10,29,2221.66,1985.13,2420.57,0.893537,1.08953,0.991535
2202,13,62,14590.4,12011.8,10894.6,0.823269,0.746695,0.784982
2203,6,16,4227.71,3706.3,4244.92,0.876668,1.00407,0.94037
2204,3,5,1726.1,350,1046.16,0.20277,0.606085,0.404427
2205,9,19,6206.15,6353.77,8566.64,1.02379,1.38035,1.20207
2206,4,18,4370.97,7366.08,5707.87,1.68523,1.30586,1.49554
2208,7,13,3683.17,5954.43,2860.64,1.61666,0.776677,1.19667
2209,26,93,6851.64,7203.59,6418.26,1.05137,0.936748,0.994057
2211,4,9,3090.92,3794.26,2064.33,1.22755,0.667869,0.94771
2212,9,29,4033.76,3594.8,3750.33,0.891177,0.929734,0.910456
2213,5,14,4630.52,2800,5770.35,0.604684,1.24616,0.925419
2214,16,50,8522.88,9566.27,8897.32,1.12242,1.04393,1.08318
2215,7,23,3559.16,4181.35,4703.45,1.17481,1.32151,1.24816
2216,3,10,2597.19,3212.47,4047.63,1.2369,1.55847,1.39768
2220,20,94,13913.1,7868.75,7974.45,0.565563,0.57316,0.569362
2221,5,17,4184.35,6123.65,5362.33,1.46346,1.28152,1.37249
2222,5,14,3096.75,2884.06,2782.03,0.931318,0.898371,0.914844
2301,21,77,9630.54,6337.32,7191.18,0.658044,0.746706,0.702375
2302,11,26,1229.55,1023.35,1435.24,0.832296,1.16728,0.999789
2303,12,41,4248.45,3419.83,3311.37,0.804959,0.77943,0.792195
2304,7,27,3405.86,2843.5,3196.85,0.834884,0.938632,0.886758
2305,24,88,5728.58,4501.58,4671.81,0.78581,0.815526,0.800668
2306,15,51,3975.82,3093.66,3123.43,0.778117,0.785606,0.781862
2307,4,16,5441.55,4431.41,5125.86,0.814365,0.941985,0.878175
2403,5,11,3674.99,4549.98,3149.98,1.23809,0.857139,1.04762
2404,8,20,5644.73,3628.3,6506.91,0.642777,1.15274,0.897759
2405,2,6,1821.65,1975.99,1492.32,1.08473,0.819212,0.95197
2406,13,31,7663.63,8213.44,9047.2,1.07174,1.18054,1.12614
2407,5,11,3153.73,1813.33,1113.33,0.574978,0.353019,0.463998
2409,14,32,9664.73,12611.2,12757.9,1.30487,1.32005,1.31246
2410,3,12,4200,4550,3850,1.08333,0.916667,1
