ClusterName,StopCode,Lat,Long,StopName,TAZ
קווי נצרת - נסיעות ותיירות,54052,32.749020,35.338039,"כפר כנא ה'/קופ""ח",1903.000000
הגליל,56453,32.851116,35.200596,הדואר/קופת חולים,414.000000
מרחב נצרת ג'י.בי טורס,54052,32.749062,35.338043,"כפר כנא ה'/קופ""ח",1903.000000
הגליל,56456,32.849728,35.194349,אל ג'בל,412.000000
מרחב נצרת ג'י.בי טורס,54053,32.745158,35.338179,כפר כנא ו'/מעיין,1903.000000
קווי נצרת – שאמ,58570,32.754145,35.345135,"מתנ""ס/כפר כנא",1916.000000
קווי נצרת – שאמ,59010,32.706877,35.277473,ג'בל אל-מוקביי,1924.000000
קווי נצרת – שאמ,54055,32.727138,35.338367,"קופ""ח כללית",2005.000000
קווי נצרת - נסיעות ותיירות,55419,32.705958,35.301729,מעיין מרים,1929.000000
מטרונית חיפה,43117,32.810258,35.005000,ואדי סאליב,1309.000000
מרחב נצרת ג'י.בי טורס,43117,32.810258,35.005000,ואדי סאליב,1309.000000
קווי נצרת - נסיעות ותיירות,57374,32.866846,35.315107,כיכר אל-כרבה,3001.000000
חדרה-נתניה,40683,32.436928,35.025055,צומת מצר לצפון,4001.000000
מרחב נצרת ג'י.בי טורס,52453,32.790794,35.325031,מפעל חומרי בנין,1902.000000
קווי נצרת – שאמ,54056,32.720697,35.338382,מ.מסחרי/המעיין,2001.000000
קווי נצרת - נסיעות ותיירות,54056,32.720697,35.338382,מ.מסחרי/המעיין,2001.000000
קווי נצרת - נסיעות ותיירות,58163,32.887138,35.412279,צומת מע'אר,3506.000000
קווי נצרת - נסיעות ותיירות,58164,32.882594,35.408758,מגאר ב/מס. טפחות,3509.000000
קווי נצרת - נסיעות ותיירות,58166,32.839457,35.398006,צומת עילבון צפון,3510.000000
הגליל,58251,32.772632,35.216286,כניסה שכ.דרומית,1002.000000
הגליל,58292,32.813583,35.156883,שפרעם יציאה,406.000000
חיפה עירוני,41156,32.828956,34.978503,אבנר/ההגנה,1505.000000
קווי נצרת - נסיעות ותיירות,58303,32.711492,35.211933,צומת מזאריב,2103.000000
קווי נצרת – שאמ,56736,32.713131,35.337257,מרכזה/בית עלמין,2001.000000
קווי נצרת – שאמ,55430,32.702812,35.315157,מנחם אריאב/רימון,2010.000000
קווי נצרת - נסיעות ותיירות,58324,32.744091,35.337967,כפר כנא ג'/מעיין,1903.000000
מרחב נצרת ג'י.בי טורס,58324,32.744162,35.338005,כפר כנא ג'/מעיין,1903.000000
קווי נצרת – שאמ,55459,32.703255,35.309085,מוסמאר,1929.000000
מרחב נצרת ג'י.בי טורס,58325,32.749237,35.338375,כניסת ר.הכנסיות,1903.000000
קווי נצרת – שאמ,55463,32.692555,35.310560,"ביה""ס קשת/סביון",2009.000000
קווי נצרת – שאמ,58330,32.723192,35.352798,כללית מרפאת עצ.,1918.000000
קווי נצרת - נסיעות ותיירות,58334,32.836504,35.401165,מרכז התכנון,3510.000000
קווי נצרת - נסיעות ותיירות,58336,32.834901,35.403505,עילבון כיכר,3510.000000
קווי נצרת - נסיעות ותיירות,58466,32.717092,35.266937,שכונה מזרחית א,1907.000000
קווי נצרת - נסיעות ותיירות,58410,32.869458,35.205284,בית מרקחת,411.000000
הגליל,58410,32.870449,35.204556,בית מרקחת,402.000000
הגליל,58417,32.855220,35.192747,אבו בכר אלסדיק,412.000000
הגליל,58422,32.849859,35.203116,עיריית טמרה,414.000000
קווי נצרת – שאמ,55482,32.707100,35.322051,עצמון/מירון,2003.000000
קווי נצרת - נסיעות ותיירות,56736,32.713082,35.337211,מרכזה/בית עלמין,2001.000000
