stop_id,stop_code,stop_name,x,y,TAZ
1532,40617,צומת מגל,200786.6,699590.5,4022
1534,40619,צומת להבות חביבה,200815.3,700415.1,4022
1535,40620,צומת להבות חביבה,200870.9,700363.2,4022
1536,40622,אלון/הזית,200865.5,703187.9,4022
1537,40623,האלה/רחוב חי,200871.8,713680.1,3903
1538,40625,רחוב חי/סמטת החבצלת,200925.9,713728.7,3903
1539,40627,'להבות חביבה ב,200953.9,700370.8,4022
1540,40628,רחוב חי/הרימון,201057.1,713996.6,3903
1542,40630,הרימון/רויטל,201102.8,713986.5,3903
1544,40632,'להבות חביבה א,201101.8,700372.5,4022
1546,40634,צומת מאור,201255.2,703221.9,4022
1547,40636,הרימון גבעת עדה/סמטת החצב,201275.7,714005.0,3903
1548,40637,הרימון/השעורה,201555.6,713905.4,3903
1549,40638,שער מנשה,201582.3,706495.6,4002
1551,40640,השעורה/הדגן,201621.0,714198.6,3903
1552,40641,בית חולים שער מנשה,201609.9,706256.7,4002
1553,40642,הרימון /מעלה הצבר,201745.3,713832.2,3903
1554,40644,מחנה צבאי,201772.8,704245.4,4022
1555,40645,צומת שער מנשה,201706.0,706445.2,4002
1556,40646,מחנה צבאי,201762.0,704311.1,4002
1557,40647,מגל,203590.3,699138.3,4022
1558,40648,מחנה צבאי,201836.4,704473.8,4002
1559,40649,צומת נרבתה,201974.4,706383.3,4002
1560,40650,כלנית/רקפת,201955.4,718729.7,3901
1561,40652,צומת מענית,202047.7,707299.0,4002
1562,40653,צומת מענית,202083.1,707416.3,4002
1563,40654,צומת נרבתה,202076.1,706426.4,4002
1566,40658,צומת נרבתה,202070.6,706280.3,4002
1568,40667,צומת כלניות,202241.2,705532.1,4001
1569,40668,צומת חריש לצפון,202144.3,708688.6,4001
1571,40671,'עמיקם ג,202282.9,718818.4,3901
1572,40672,צומת כלניות,202293.0,705600.2,4001
1574,40674,צ.מאור,202307.6,705477.3,4001
1575,40676,'עמיקם ב,202380.1,718659.0,3901
1578,40680,צומת ברקאי,202463.1,708927.4,4001
1579,40683,צומת מצר לצפון,202593.5,704765.9,4001
1583,40687,צומת מצר למזרח,202660.7,704744.1,4001
1584,40688,צומת מצר לדרום,202642.1,704664.5,4001
1585,40690,מזכירות,202806.2,708975.6,4001
1586,40691,מבצע עזרא/שיבת ציון,189305.8,704974.3,4016
1587,40692,קיבוץ רגבים,203292.7,714637.7,3901
1589,40694,אלקודס/אלחאאג'ה נפיסה,203324.4,703639.4,4019
1590,40695,השומרון/קרן קיימת לישראל,189533.3,705467.1,4016
1592,40697,אלקודס/חממה,203399.5,703537.6,4019
1594,40699,שבדיה ג,200894.6,741406.5,1623
1595,40700,ברנדייס/האלון,192780.8,703219.7,4013
1596,40701,אלקודס/אלפתח,203557.8,703478.6,4019
1599,40704,ברנדייס/ההדר,192967.0,703230.0,4013
1600,40705,וייצמן י''ב,204017.4,703037.6,4019
1601,40706,כיכר מועצה,204032.2,700529.2,4021
1602,40707,בית העם,204085.8,717116.1,3901
1603,40708,מסוף ג'ת,204152.9,700313.4,4021
1604,40709,פיינברג/נורדאו,192623.3,703821.6,4013
1607,40713,אלקודס/קופת חולים,204516.5,702829.8,4019
1608,40714,צומת מייסר/יציאה,204303.6,705190.1,3831
1609,40715,אחמד אבו עסבה/יאסר ערפאת,204410.8,700244.2,4021
1610,40716,וייצמן י''א,204470.0,702848.3,4019
1615,40722,צומת ג'ת,204570.2,700156.9,4021
1616,40723,דרך ארץ/גמלא,204697.5,707465.0,3826
1617,40725,'מצר א,204728.7,705241.8,3831
1618,40726,מפעל,204659.4,705355.0,3831
1619,40727,צומת ג'ת,204565.5,700136.6,4021
1620,40728,צומת ג'ת,204615.2,700196.1,4021
