TAZ,bus_stops_n,bus_lines_n,bus_lines,bus_dep_0609,bus_dep_0708,bus_headway_0708_min,bus_best_line_headway_0708_min,bus_direct_reach_taz_n,bus_direct_reach_30min_taz_n,bus_nearest_stop_m,bus_stops_per_km2,bus_LOS_frequency,bus_LOS_best_line,brt_stops_n,brt_lines_n,brt_lines,brt_dep_0609,brt_dep_0708,brt_headway_0708_min,brt_best_line_headway_0708_min,brt_direct_reach_taz_n,brt_direct_reach_30min_taz_n,brt_nearest_stop_m,brt_stops_per_km2,brt_LOS_frequency,brt_LOS_best_line,brt_access,brt_lines_named,AggCode_V2,AggAreaName_V2
2201,25,23,10332 10338 10505 10826 10836 10845 10963 10968 11331 11336 11339 11358 12301 12333 13309 13360 14310 15065 17068 19311 24021 25012 47014,119,41,1.46,12.00,93,59,295.96,1.27,A,B,0,0,,0,0,,,0,0,9912.58,0.00,no service,no service,0,,,
110,45,6,10048 11294 17047 21148 22147 30055,22,10,6.00,30.00,34,26,1042.38,1.40,A,D,0,0,,0,0,,,0,0,15980.32,0.00,no service,no service,0,,,
231,10,9,10048 11061 11294 11305 17047 17282 21148 22058 22147,33,12,5.00,30.00,57,36,576.09,2.97,A,D,0,0,,0,0,,,0,0,12660.97,0.00,no service,no service,0,,,
1912,4,1,23045,18,6,10.00,20.00,10,10,981.33,0.62,A,C,0,0,,0,0,,,0,0,25397.44,0.00,no service,no service,0,,,
242,53,28,400 403 405 407 440 442 443 444 445 447 10048 10262 10263 10361 10500 11064 11305 11564 12312 12503 15039 16380 19302 21057 21093 22058 25284 42020,99,41,1.46,15.00,69,57,364.55,3.10,A,B,0,0,,0,0,,,0,0,11780.70,0.00,no service,no service,0,,,
3003,0,0,,0,0,,,0,0,629.76,0.00,no service,no service,0,0,,0,0,,,0,0,24448.53,0.00,no service,no service,0,,,
2307,26,9,10037 10795 11791 13297 16050 21055 33003 35058 51054,88,39,1.54,8.57,58,28,1469.59,1.72,A,A,0,0,,0,0,,,0,0,5765.34,0.00,no service,no service,0,,,
2301,37,9,10037 10795 11791 13297 16050 21055 33003 35058 51054,90,38,1.58,10.00,58,32,960.43,2.82,A,A,0,0,,0,0,,,0,0,1825.17,0.00,no service,no service,0,,,
1913,8,19,10337 10430 10432 10505 10836 10962 11431 11434 13360 14288 16123 17024 17026 17032 18030 18122 19028 19031 19033,67,22,2.73,20.00,89,43,1070.00,1.12,A,C,0,0,,0,0,,,0,0,24146.84,0.00,no service,no service,0,,,
1911,15,14,10332 10335 10338 10826 11331 11336 11339 11431 12333 14352 23007 27036 30050 46001,102,33,1.82,15.00,52,24,86.52,28.67,A,B,0,0,,0,0,,,0,0,19738.87,0.00,no service,no service,0,,217.00,Nazareth
